theta0_degrees,theta_reference_degrees,theta_segment_degrees,delta_reference_degrees,delta_reference_abs_degrees,delta_segment_degrees,delta_segment_abs_degrees,segment_reference_error_degrees,segment_reference_error_abs_degrees,angle_decomposition_residual,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_ref_min,s_ref_max,q_ref_min,q_ref_max,q_ref_abs_max,lateral_width_reference_path,longitudinal_width_reference_path,required_strip_width,required_strip_width_one_sided
0.0,98.07181000630752,90.00000000000001,-98.07181000630752,98.07181000630752,-90.00000000000001,90.00000000000001,-8.0718100063075,8.0718100063075,0.0,1,C,90.00000000000001,0.0,-0.007252607870394924,0.6221306057391078,-0.8277516567132346,8.877968359263918e-17,0.8277516567132346,0.8277516567132347,0.6293832136095028,1.2577516567132347,1.0427516567132347
0.5,98.07181000630752,89.91422048564053,-97.57181000630752,97.57181000630752,-89.41422048564053,89.41422048564053,-8.157589520666988,8.157589520666988,0.0,1,C,89.41422048564053,0.0,-0.0063709983329711065,0.6219149628194544,-0.8212667838673767,4.113501909864312e-16,0.8212667838673767,0.8212667838673772,0.6282859611524254,1.2512667838673772,1.0362667838673767
1.0,98.07181000630752,89.82845125003901,-97.07181000630752,97.07181000630752,-88.82845125003901,88.82845125003901,-8.243358756268508,8.243358756268508,0.0,1,C,88.82845125003901,0.0,-0.00556881955435459,0.6216444094748838,-0.8147729579544988,2.5076045045519397e-16,0.8147729579544988,0.814772957954499,0.6272132290292384,1.244772957954499,1.0297729579544987
1.5,98.07181000630752,89.74270256928301,-96.57181000630752,96.57181000630752,-88.24270256928303,88.24270256928303,-8.329107437024494,8.329107437024494,0.0,1,C,88.24270256928303,0.0,-0.004798787116806391,0.6213190159751748,-0.8082706815558689,-7.213656793916539e-17,0.8082706815558689,0.8082706815558688,0.6261178030919812,1.2382706815558688,1.023270681555869
2.0,98.07181000630752,89.65698471412094,-96.07181000630752,96.07181000630752,-87.65698471412094,87.65698471412094,-8.414825292186572,8.414825292186572,0.0,1,C,87.65698471412094,0.0,-0.004105761467397714,0.6209388566199023,-0.8017604585464781,4.0877388498860384e-16,0.8017604585464781,0.8017604585464786,0.6250446180873,1.2317604585464785,1.0167604585464782
2.5,98.07181000630752,89.57130794729648,-95.57181000630752,95.57181000630752,-87.07130794729648,87.07130794729648,-8.500502059011037,8.500502059011037,0.0,1,C,87.07130794729648,0.0,-0.003449719382289231,0.6205040097064013,-0.7952427940516896,9.618209058555385e-17,0.7952427940516896,0.7952427940516897,0.6239537290886905,1.2252427940516897,1.0102427940516896
3.0,98.07181000630752,89.4856825208882,-95.0718100063075,95.0718100063075,-86.48568252088819,86.48568252088819,-8.586127485419313,8.586127485419313,0.0,1,C,86.48568252088819,0.0,-0.0028635636085908816,0.6200145574975592,-0.788718194403318,-7.557164260293517e-17,0.788718194403318,0.7887181944033179,0.62287812110615,1.2187181944033179,1.003718194403318
3.5,98.07181000630752,89.4001186736555,-94.57181000630752,94.57181000630752,-85.9001186736555,85.9001186736555,-8.671691332652015,8.671691332652015,0.0,1,C,85.9001186736555,0.0,-0.00232361023163827,0.6194705861894635,-0.7821871670951493,2.4732537579142417e-16,0.7821871670951493,0.7821871670951496,0.6217941964211018,1.2121871670951496,0.9971871670951493
4.0,98.07181000630752,89.3146266283927,-94.0718100063075,94.0718100063075,-85.31462662839269,85.31462662839269,-8.757183377914814,8.757183377914814,0.0,1,C,85.31462662839269,0.0,-0.0018419134535459195,0.618872185878924,-0.7756502207379076,8.244179193047473e-17,0.7756502207379076,0.7756502207379077,0.6207140993324699,1.2056502207379076,0.9906502207379075
4.5,98.07181000630752,89.22921658929324,-93.57181000630752,93.57181000630752,-84.72921658929324,84.72921658929324,-8.842593417014262,8.842593417014262,0.0,1,C,84.72921658929324,0.0,-0.0014198319786594472,0.6182194505309022,-0.7691078650136804,4.2092790868583903e-16,0.7691078650136804,0.7691078650136809,0.6196392825095617,1.1991078650136808,0.9841078650136804
